,access,account_number,accounting_year,cdp_region,change_in_emissions,city,city_wide_emissions_inventory,country,gases_included,geocoded_column,inventory_boundary,last_update,organization,population,population_year,primary_protocol,primary_protocol_comment,reason_for_change,reporting_authority,total_basic_emissions_gpc,total_basic_emissions_gpc_1,total_scope_1_emissions_metric_tonnes_co2e,total_scope_2_emissions_metric_tonnes_co2e,total_scope_3_emissions,year_reported_to_cdp,coordinates,location,address,addr_list,state,State,Number of Customers,Average Monthly Consumption (kWh),Average Price (cents/kWh),Average Monthly Bill (Dollar and cents),Solar panel pricing (cost per watt $/W),Emissions (lbs/MWh),1,2,3,4,5,6,7,8,9,10,11,12
0,public,35859,2016-01-01 - 2016-12-31,North America,Decreased,Cleveland,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-81.6944, 41.4993]}",A metropolitan area,2020-05-01T03:57:54.890,City of Cleveland,396815.0,2010,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Technological change,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",7846700,1254024,8929029.0,3076598.0,536417.0,2018,"[41.4993, -81.6944]","Public Square, Superior Avenue East, East 4th Street, Warehouse District, Cleveland, Cuyahoga County, Ohio, 44114, United States of America","Public Square, Superior Avenue East, East 4th Street, Warehouse District, Cleveland, Cuyahoga County, Ohio, 44114, United States of America","['Public Square', 'Superior Avenue East', 'East 4th Street', 'Warehouse District', 'Cleveland', 'Cuyahoga County', 'Ohio', '44114', 'United States of America']",Ohio,Ohio,"4,964,855",914,12.56,114.8,3.04,"1,361",2.343837261199951,3.176990270614624,4.176901340484619,5.452294826507568,5.879343509674072,6.456642150878906,6.405717849731445,6.10634183883667,5.42918062210083,3.9955122470855713,2.980663299560547,2.0711188316345215
1,public,35857,2015-01-01 - 2015-12-31,North America,Stayed the same,Cincinnati,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-84.512, 39.1031]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Cincinnati,298800.0,2016,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,No new inventory to report,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",7600000,,4346533.0,3251940.0,,2018,"[39.1031, -84.512]","21c Museum Hotel Cincinnati, Gano Street, Lytle Park Historic District, Central Business District, Cincinnati, Hamilton County, Ohio, 45202, United States of America","21c Museum Hotel Cincinnati, Gano Street, Lytle Park Historic District, Central Business District, Cincinnati, Hamilton County, Ohio, 45202, United States of America","['21c Museum Hotel Cincinnati', 'Gano Street', 'Lytle Park Historic District', 'Central Business District', 'Cincinnati', 'Hamilton County', 'Ohio', '45202', 'United States of America']",Ohio,Ohio,"4,964,855",914,12.56,114.8,3.04,"1,361",2.343837261199951,3.176990270614624,4.176901340484619,5.452294826507568,5.879343509674072,6.456642150878906,6.405717849731445,6.10634183883667,5.42918062210083,3.9955122470855713,2.980663299560547,2.0711188316345215
2,public,50565,,North America,,Toledo,No,United States of America,,"{'type': 'Point', 'coordinates': [-83.5552, 41.6639]}",,2020-05-01T03:57:54.890,City of Toledo,287208.0,2010,,,,"CDP Cities, ICLEI - Local Governments for Sustainability",,,,,,2018,"[41.6639, -83.5552]","501, West Bancroft Street, Collingwood Springs, Auburndale, Toledo, Lucas County, Ohio, 43620, United States of America","501, West Bancroft Street, Collingwood Springs, Auburndale, Toledo, Lucas County, Ohio, 43620, United States of America","['501', 'West Bancroft Street', 'Collingwood Springs', 'Auburndale', 'Toledo', 'Lucas County', 'Ohio', '43620', 'United States of America']",Ohio,Ohio,"4,964,855",914,12.56,114.8,3.04,"1,361",2.343837261199951,3.176990270614624,4.176901340484619,5.452294826507568,5.879343509674072,6.456642150878906,6.405717849731445,6.10634183883667,5.42918062210083,3.9955122470855713,2.980663299560547,2.0711188316345215
3,public,43910,2017-01-01 - 2017-12-31,North America,Decreased,Columbus,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-82.9988, 39.9612]}",A metropolitan area,2020-05-01T03:57:54.890,City of Columbus,860090.0,2016,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Behavioural change,"CDP Cities, ICLEI - Local Governments for Sustainability",10629141,10629141,5340340.0,4539586.0,749215.2,2018,"[39.9612, -82.9988]","Capitol Square, South Third Street, Downtown, Steelton, Columbus, Franklin County, Ohio, 43216, United States of America","Capitol Square, South Third Street, Downtown, Steelton, Columbus, Franklin County, Ohio, 43216, United States of America","['Capitol Square', 'South Third Street', 'Downtown', 'Steelton', 'Columbus', 'Franklin County', 'Ohio', '43216', 'United States of America']",Ohio,Ohio,"4,964,855",914,12.56,114.8,3.04,"1,361",2.343837261199951,3.176990270614624,4.176901340484619,5.452294826507568,5.879343509674072,6.456642150878906,6.405717849731445,6.10634183883667,5.42918062210083,3.9955122470855713,2.980663299560547,2.0711188316345215
4,public,73301,,North America,,Gretna,Intending to undertake in future,United States of America,,"{'type': 'Point', 'coordinates': [-90.0542, 29.9164]}",,2020-05-01T03:57:54.890,"City of Gretna, LA",17935.0,2017,,,,"CDP Cities, ICLEI - Local Governments for Sustainability",,,,,,2018,"[29.9164, -90.0542]","85, Huber Street, McDonoghville, Gretna, Jefferson Parish, Louisiana, 70053, United States of America","85, Huber Street, McDonoghville, Gretna, Jefferson Parish, Louisiana, 70053, United States of America","['85', 'Huber Street', 'McDonoghville', 'Gretna', 'Jefferson Parish', 'Louisiana', '70053', 'United States of America']",Louisiana,Louisiana,"2,085,055","1,282",9.59,122.86,3.02,"1,094",3.970252752304077,4.258399963378906,5.4304304122924805,6.01914119720459,6.403310298919678,6.4005889892578125,6.196881294250488,6.355976104736328,5.9661688804626465,5.754828929901123,4.616876602172852,3.6387743949890137
5,public,73302,,North America,,Port Allen,,United States of America,,"{'type': 'Point', 'coordinates': [-91.2073, 30.4475]}",,2020-05-01T03:57:54.890,"City of Port Allen, LA",,0,,,,"CDP Cities, ICLEI - Local Governments for Sustainability",,,,,,2018,"[30.4475, -91.2073]","699, Whitehead Boulevard, West Baton Rouge, Port Allen, West Baton Rouge Parish, Louisiana, 70767, United States of America","699, Whitehead Boulevard, West Baton Rouge, Port Allen, West Baton Rouge Parish, Louisiana, 70767, United States of America","['699', 'Whitehead Boulevard', 'West Baton Rouge', 'Port Allen', 'West Baton Rouge Parish', 'Louisiana', '70767', 'United States of America']",Louisiana,Louisiana,"2,085,055","1,282",9.59,122.86,3.02,"1,094",3.970252752304077,4.258399963378906,5.4304304122924805,6.01914119720459,6.403310298919678,6.4005889892578125,6.196881294250488,6.355976104736328,5.9661688804626465,5.754828929901123,4.616876602172852,3.6387743949890137
6,public,50550,,North America,,"Buffalo, NY",No,United States of America,,"{'type': 'Point', 'coordinates': [-78.8784, 42.8864]}",,2020-05-01T03:57:54.890,City of Buffalo,258612.0,2017,,,,"CDP Cities, ICLEI - Local Governments for Sustainability",,,,,,2018,"[42.8864, -78.8784]","Downtown, Cobblestone District, Buffalo, Erie County, New York, 14202, United States of America","Downtown, Cobblestone District, Buffalo, Erie County, New York, 14202, United States of America","['Downtown', 'Cobblestone District', 'Buffalo', 'Erie County', 'New York', '14202', 'United States of America']",New York,New York,"7,190,906",604,18.52,111.93,3.41,464,2.9010932445526123,3.9161276817321777,4.567721843719482,5.4146904945373535,5.413010120391846,5.959511756896973,6.168822288513184,5.883983135223389,5.158105850219727,4.060146331787109,3.0551564693450928,2.411591053009033
7,public,63919,,North America,,Saratoga Springs,Intending to undertake in future,United States of America,,"{'type': 'Point', 'coordinates': [-73.8167, 43.0333]}",,2020-05-01T03:57:54.890,"City of Saratoga Springs, NY",28027.0,2017,,,,"CDP Cities, ICLEI - Local Governments for Sustainability",,,,,,2018,"[43.0333, -73.8167]","Saratoga Springs, City of Saratoga Springs, Saratoga County, New York, 12866, United States of America","Saratoga Springs, City of Saratoga Springs, Saratoga County, New York, 12866, United States of America","['Saratoga Springs', 'City of Saratoga Springs', 'Saratoga County', 'New York', '12866', 'United States of America']",New York,New York,"7,190,906",604,18.52,111.93,3.41,464,2.9010932445526123,3.9161276817321777,4.567721843719482,5.4146904945373535,5.413010120391846,5.959511756896973,6.168822288513184,5.883983135223389,5.158105850219727,4.060146331787109,3.0551564693450928,2.411591053009033
8,public,54102,-,North America,,Albany,Yes,United States of America,"CH4, CO2, HFCs, N20, PFCs, SF6","{'type': 'Point', 'coordinates': [-73.7562, 42.6526]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Albany,97856.0,2010,Other: New York Community and Regional GHG Inventory Guidance,Created by New York GHG Working Group,,"CDP Cities, ICLEI - Local Governments for Sustainability",Not Applicable,Not Applicable,663997.0,553094.0,,2018,"[42.6526, -73.7562]","LaFayette Park Plaque, Washington Avenue, Sheridan Hollow, Lark Street, Albany, Albany County, New York, 12210, United States of America","LaFayette Park Plaque, Washington Avenue, Sheridan Hollow, Lark Street, Albany, Albany County, New York, 12210, United States of America","['LaFayette Park Plaque', 'Washington Avenue', 'Sheridan Hollow', 'Lark Street', 'Albany', 'Albany County', 'New York', '12210', 'United States of America']",New York,New York,"7,190,906",604,18.52,111.93,3.41,464,2.9010932445526123,3.9161276817321777,4.567721843719482,5.4146904945373535,5.413010120391846,5.959511756896973,6.168822288513184,5.883983135223389,5.158105850219727,4.060146331787109,3.0551564693450928,2.411591053009033
9,public,49342,2014-01-01 - 2014-12-31,North America,Decreased,Rochester,Yes,United States of America,"CH4, CO2, HFCs, N20, PFCs, SF6","{'type': 'Point', 'coordinates': [-77.6109, 43.161]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Rochester,208046.0,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"The ICLEI-Local Governments for Sustainability's US Community Protocol was used as the main protocol reference for the inventory. This protocol was selected because it provides guidelines specific to quantifying GHG emissions from the City’s entire community. Additional protocol guidance was taken from The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA). (Rochester Climate Action Plan page 18).  We are in the process of recalibrating our GHG inventory data to align with the GPC as required by the Global Covenant of Mayors. At the time of the GHG inventory calculations, we were unaware of the GPC requirement.  However, the City of Rochester strongly wishes to continue to participate in the Global Covenant of Mayors.",Technological change,"CDP Cities, ICLEI - Local Governments for Sustainability",Not Applicable,Not Applicable,1735000.0,49000.0,0.0,2018,"[43.161, -77.6109]","Cumberland Street, Convention District, Arnett, Rochester, Monroe County, New York, 14694, United States of America","Cumberland Street, Convention District, Arnett, Rochester, Monroe County, New York, 14694, United States of America","['Cumberland Street', 'Convention District', 'Arnett', 'Rochester', 'Monroe County', 'New York', '14694', 'United States of America']",New York,New York,"7,190,906",604,18.52,111.93,3.41,464,2.9010932445526123,3.9161276817321777,4.567721843719482,5.4146904945373535,5.413010120391846,5.959511756896973,6.168822288513184,5.883983135223389,5.158105850219727,4.060146331787109,3.0551564693450928,2.411591053009033
